symbol,name,sector,policy_rating,raw_total,final_score,rating,action,alert_level,overall_confidence,watermark,circuit_breakers_triggered,moat_score,moat_confidence,valuation_score,valuation_confidence,valuation_percentile,valuation_zone,valuation_metric,policy_score
300502,新易盛,科技,neutral,51.86,51.86,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,38.29,0.9,77.02479338842976,avoid,PE_TTM,100.0
300628,亿联网络,科技,neutral,71.27,71.27,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,90.04,0.9,19.91735537190083,strong_buy,PE_TTM,100.0
300661,圣邦股份,半导体,neutral,58.52,58.52,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,56.06,0.9,62.727272727272734,hold,PE_TTM,100.0
300750,宁德时代,电力设备,neutral,64.26,64.26,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,71.35,0.9,44.3801652892562,hold,PE_TTM,100.0
300759,康龙化成,医药,neutral,68.37,68.37,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,82.31,0.9,30.247933884297524,accumulate,PE_TTM,100.0
300760,迈瑞医疗,医药,neutral,72.46,72.46,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,93.22,0.9,13.553719008264462,strong_buy,PE_TTM,100.0
300782,卓胜微,电子,neutral,60.0,60.0,Hold/Watch,等待拐点,green_pass,0.5,[数据部分缺失],0,60.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,100.0
300803,指南针,科技,neutral,55.53,55.53,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,48.08,0.9,71.15384615384616,avoid,PE_TTM,100.0
300832,新产业,医药,neutral,73.17,73.17,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,95.12,0.9,9.75206611570248,strong_buy,PE_TTM,100.0
300866,安克创新,电子,neutral,54.91,54.91,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,46.42,0.9,72.14876033057851,avoid,PE_TTM,100.0
300896,爱美客,医药,neutral,70.06,70.06,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,86.84,0.9,24.21487603305785,accumulate,PE_TTM,100.0
300979,华利集团,电子,neutral,74.37,74.37,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,98.31,0.9,3.3884297520661155,strong_buy,PE_TTM,100.0
300999,金龙鱼,食品饮料,neutral,74.92,74.92,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,99.79,0.9,0.4132231404958678,strong_buy,PE_TTM,100.0
301236,软通动力,计算机,neutral,37.99,37.99,Avoid,一票否决：禁止买入,hard_veto,0.6499999999999999,[数据部分缺失],1,60.0,0.5,1.32,0.9,99.20634920634922,avoid,PE_TTM,100.0
301269,华大九天,半导体,neutral,60.0,60.0,Hold/Watch,等待拐点,green_pass,0.5,[数据部分缺失],0,60.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,100.0
302132,中航成飞,军工,neutral,64.5,64.5,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,72.0,0.9,43.595041322314046,hold,PE_TTM,100.0
600000,浦发银行,银行,neutral,62.08,62.08,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,65.55,0.9,43.22314049586777,hold,PB,100.0
600009,上海机场,建筑,neutral,74.05,74.05,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,97.46,0.9,5.084745762711865,strong_buy,PE_TTM,100.0
600010,包钢股份,钢铁,neutral,60.0,60.0,Hold/Watch,等待拐点,green_pass,0.5,[数据部分缺失],0,60.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,100.0
600011,华能国际,电力,neutral,72.59,72.59,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,93.57,0.9,12.86624203821656,strong_buy,PE_TTM,100.0
600015,华夏银行,银行,neutral,71.78,71.78,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,91.4,0.9,12.892561983471074,strong_buy,PB,100.0
600016,民生银行,银行,neutral,74.88,74.88,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,99.67,0.9,0.49586776859504134,strong_buy,PB,100.0
600018,上港集团,交通运输,neutral,66.86,66.86,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,78.29,0.9,35.6198347107438,accumulate,PE_TTM,100.0
600019,宝钢股份,钢铁,neutral,58.39,58.39,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,55.72,0.9,63.1404958677686,hold,PE_TTM,100.0
600023,浙能电力,电力,neutral,60.13,60.13,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,60.35,0.9,57.57918552036199,hold,PE_TTM,100.0
600025,华能水电,电力,neutral,56.14,56.14,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,49.72,0.9,70.16528925619835,avoid,PE_TTM,100.0
600026,中远海能,交通运输,neutral,56.77,56.77,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,51.4,0.9,68.32369942196533,hold,PE_TTM,100.0
600027,华电国际,电力,neutral,64.81,64.81,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,72.84,0.9,42.590673575129536,hold,PE_TTM,100.0
600028,中国石化,石油化工,neutral,46.38,46.38,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,23.69,0.9,85.78512396694215,avoid,PE_TTM,100.0
600029,南方航空,交通运输,neutral,62.5,62.5,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,66.67,0.9,50.0,hold,PE_TTM,100.0
600030,中信证券,证券,neutral,74.83,74.83,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,99.55,0.9,0.9090909090909091,strong_buy,PE_TTM,100.0
600031,三一重工,机械设备,neutral,68.6,68.6,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,82.93,0.9,29.421487603305785,accumulate,PE_TTM,100.0
600036,招商银行,银行,neutral,73.7,73.7,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,96.53,0.9,5.206611570247934,strong_buy,PB,100.0
600039,四川路桥,建筑,neutral,59.81,59.81,Avoid,回避,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,59.5,0.9,58.595041322314046,hold,PE_TTM,100.0
600048,保利发展,房地产,neutral,60.0,60.0,Hold/Watch,等待拐点,green_pass,0.5,[数据部分缺失],0,60.0,0.5,0.0,0.3,-1.0,invalid,PE_TTM,60.0
600050,中国联通,通信,neutral,71.31,71.31,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,90.17,0.9,19.669421487603305,strong_buy,PE_TTM,100.0
600061,国投资本,金融,neutral,69.39,69.39,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,85.04,0.9,26.611570247933887,accumulate,PE_TTM,100.0
600066,宇通客车,汽车,neutral,74.33,74.33,Hold/Watch,等待拐点,green_pass,0.6499999999999999,[数据部分缺失],0,60.0,0.5,98.22,0.9,3.553719008264463,strong_buy,PE_TTM,100.0
